State,Action,NextState
[ 0.9999975  -0.00224739  0.04156805],[-0.5369117],[ 0.9999908  -0.00428009 -0.04065426]
[ 0.9999908  -0.00428009 -0.04065426],[0.56554794],[ 0.9999975  -0.00223171  0.04096786]
[ 0.9999975  -0.00223171  0.04096786],[-0.53081346],[ 0.999991   -0.0042481  -0.04032794]
[ 0.999991   -0.0042481  -0.04032794],[0.56015396],[ 0.99999756 -0.00222266  0.04050908]
[ 0.99999756 -0.00222266  0.04050908],[-0.52597666],[ 0.99999106 -0.00422537 -0.04005441]
[ 0.99999106 -0.00422537 -0.04005441],[0.55585957],[ 0.99999756 -0.0022176   0.0401555 ]
[-0.66945404  0.74285346 -0.8825768 ],[1.9921241],[-0.6684648  0.7437438 -0.0266181]
[-0.6684648  0.7437438 -0.0266181],[2.],[-0.6987883   0.7153285   0.83118975]
[-0.6987883   0.7153285   0.83118975],[2.],[-0.7559385   0.65464264  1.6676861 ]
[-0.7559385   0.65464264  1.6676861 ],[2.],[-0.8305085  0.557006   2.4586682]
[-0.8305085  0.557006   2.4586682],[2.],[-0.9081489  0.4186473  3.1764226]
[-0.9081489  0.4186473  3.1764226],[2.],[-0.9707563  0.240067   3.7904081]
[-0.9707563  0.240067   3.7904081],[2.],[-0.99958205  0.02890793  4.270458  ]
[-0.99958205  0.02890793  4.270458  ],[1.9996328],[-0.9799288  -0.19934773  4.5920844 ]
[-0.9799288  -0.19934773  4.5920844 ],[1.9954486],[-0.90569216 -0.423936    4.741891  ]
[-0.90569216 -0.423936    4.741891  ],[1.9914131],[-0.7813818  -0.62405324  4.7226505 ]
[-0.7813818  -0.62405324  4.7226505 ],[1.996419],[-0.6203378 -0.7843348  4.5540733]
[-0.6203378 -0.7843348  4.5540733],[1.9985847],[-0.44026414 -0.89786834  4.26561   ]
[-0.44026414 -0.89786834  4.26561   ],[1.998595],[-0.25832978 -0.96605676  3.8919983 ]
[-0.25832978 -0.96605676  3.8919983 ],[1.9904103],[-0.08787854 -0.9961312   3.4660172 ]
[-0.08787854 -0.9961312   3.4660172 ],[1.9195118],[ 0.06230984 -0.9980568   3.0068455 ]
[ 0.06230984 -0.9980568   3.0068455 ],[1.5655103],[ 0.18591863 -0.98256516  2.4931295 ]
[ 0.18591863 -0.98256516  2.4931295 ],[0.85662556],[ 0.27754876 -0.96071154  1.8846995 ]
[ 0.27754876 -0.96071154  1.8846995 ],[0.76950836],[ 0.33840492 -0.9410006   1.279592  ]
