State,Action,NextState
[-0.26420968  0.61524698],0.687737,[-0.2380823   0.52254769]
[-0.2380823   0.52254769],0.6493113,[-0.21592906  0.44306479]
[-0.21592906  0.44306479],0.68143415,[-0.19669963  0.38458866]
[-0.19669963  0.38458866],0.70402193,[-0.17951879  0.34361669]
[-0.17951879  0.34361669],0.67834854,[-0.1639462   0.31145189]
[-0.1639462   0.31145189],0.65281916,[-0.14959794  0.28696519]
[-0.14959794  0.28696519],0.62732935,[-0.13613373  0.26928417]
[-0.13613373  0.26928417],0.58917,[-0.12334001  0.25587443]
[-0.12334001  0.25587443],0.54258204,[-0.11109045  0.2449911 ]
[-0.11109045  0.2449911 ],0.4684496,[-0.09948486  0.23211196]
[-0.09948486  0.23211196],0.39863944,[-0.08861399  0.21741725]
[-0.08861399  0.21741725],0.2145536,[-0.07945266  0.18322674]
[-0.07945266  0.18322674],0.38188934,[-0.07040349  0.18098332]
[-0.07040349  0.18098332],-0.06676185,[-0.06449299  0.11821004]
[-0.06449299  0.11821004],0.47891665,[-0.05740742  0.14171132]
[-0.05740742  0.14171132],-0.04796374,[-0.05283318  0.09148483]
[-0.05283318  0.09148483],0.44178343,[-0.04692589  0.1181459 ]
[-0.04692589  0.1181459 ],-0.22256625,[-0.04444691  0.04957946]
[-1.16661217 -0.94379857],-1.692133,[-1.26097148 -1.88718618]
[-1.26097148 -1.88718618],-1.9671757,[-1.40579912 -2.89655278]
[-1.40579912 -2.89655278],-1.98408,[-1.60249806 -3.93397888]
[-1.60249806 -3.93397888],-1.97299,[-1.85147559 -4.97955054]
[-1.85147559 -4.97955054],-1.7671527,[-2.14973929 -5.96527407]
[-2.14973929 -5.96527407],-1.4152681,[-2.49000656 -6.80534537]
[-2.49000656 -6.80534537],-1.4697714,[-2.86403893 -7.48064731]
[-2.86403893 -7.48064731],-1.1623844,[-3.25706432 -7.86050783]
[-3.25706432 -7.86050783],-0.14448094,[-3.64685275 -7.79576855]
[-3.64685275 -7.79576855],-0.25589263,[-4.02040906 -7.47112616]
[-4.02040906 -7.47112616],-0.22334635,[-4.36676605 -6.92713995]
[-4.36676605 -6.92713995],1.232152,[-4.66859949 -6.03666871]
[-4.66859949 -6.03666871],1.3960595,[-4.92249843 -5.07797874]
[-4.92249843 -5.07797874],0.12684083,[-5.13877075 -4.32544654]
[-5.13877075 -4.32544654],0.19580841,[-5.31943196 -3.61322418]
[-5.31943196 -3.61322418],-1.1672063,[-5.47804703 -3.17230132]
[-5.47804703 -3.17230132],-1.5387541,[-5.62116801 -2.86241957]
[-5.62116801 -2.86241957],-0.93618023,[-5.74825874 -2.54181467]
[-5.74825874 -2.54181467],-0.045120478,[-5.85657121 -2.16624934]
[-5.85657121 -2.16624934],0.5146854,[-5.94550638 -1.77870347]
[-5.94550638 -1.77870347],0.6726916,[-6.01697269 -1.42932623]
[-6.01697269 -1.42932623],0.20804477,[-6.07701319 -1.20081   ]
[-6.07701319 -1.20081   ],0.22287583,[-6.12770533 -1.01384268]
[-6.12770533 -1.01384268],0.29822302,[-6.17035375 -0.8529685 ]
[-6.17035375 -0.8529685 ],0.3843913,[-6.20589703 -0.71086557]
[-6.20589703 -0.71086557],0.43165588,[-6.23530746 -0.58820868]
[-6.23530746 -0.58820868],0.44008446,[-6.25962253 -0.48630134]
[-6.25962253 -0.48630134],0.4729476,[-6.27950697 -0.39768876]
[-6.27950697 -0.39768876],0.48333788,[-6.29562843 -0.32242933]
[-6.29562843 -0.32242933],0.49836564,[-6.30847876 -0.25700658]
[-6.30847876 -0.25700658],0.5162504,[-6.31840562 -0.1985371 ]
[-6.31840562 -0.1985371 ],0.5316844,[-6.32566533 -0.14519421]
[-6.32566533 -0.14519421],0.54229045,[-6.33045038 -0.09570108]
[-6.33045038 -0.09570108],0.54603815,[-6.33291193 -0.04923097]
[ 1.0915804  -0.80764447],1.9721193,[1.09926495 0.15369097]
[1.09926495 0.15369097],1.3402154,[1.15040888 1.02287856]
[1.15040888 1.02287856],-1.6785386,[1.22319867 1.45579594]
[1.22319867 1.45579594],-0.68474317,[1.32611016 2.05822979]
